x,y
12.278249,1.152063
13.043502,0.114110
12.297193,1.154309
12.116576,1.002696
11.345810,0.025529
11.272991,0.013956
11.802245,0.409162
11.584812,0.135648
12.712145,0.566911
11.977990,0.747862
12.235802,1.134602
10.713214,0.000031
11.615326,0.162208
12.377968,1.125341
13.084519,0.087777
11.870960,0.534168
10.826893,0.000131
13.951066,0.000013
11.283591,0.015280
12.240978,1.137635
11.830026,0.457903
13.090396,0.084440
11.854084,0.502148
11.565760,0.120839
10.586614,0.000005
12.490450,0.991730
12.054210,0.896402
11.969892,0.731511
12.339787,1.146723
13.190148,0.041858
10.987910,0.000856
11.654359,0.201593
13.299409,0.017637
13.241872,0.028151
12.940094,0.207703
12.658671,0.673679
10.697753,0.000025
12.669409,0.651987
10.907443,0.000344
11.501966,0.080259
13.604360,0.000931
12.325592,1.151186
11.721703,0.284661
13.638134,0.000641
13.226504,0.031747
12.487231,0.996790
11.851265,0.496876
13.136777,0.061566
13.490093,0.003072
11.211317,0.008082
13.921539,0.000019
11.717239,0.278552
13.274301,0.021703
10.950712,0.000565
10.846396,0.000166
13.628000,0.000718
11.011542,0.001107
11.453905,0.057655
10.646379,0.000012
11.629548,0.175837
12.698229,0.594317
11.065404,0.001955
13.686330,0.000370
12.174062,1.080193
12.485555,0.999400
12.975445,0.170959
13.987697,0.000008
13.112587,0.072758
13.720286,0.000248
10.730065,0.000038
13.838519,0.000057
13.995156,0.000007
10.790993,0.000084
13.525888,0.002139
12.131229,1.024593
11.197775,0.007138
11.955183,0.701732
13.011334,0.138806
12.705194,0.580556
10.676389,0.000019
13.099410,0.079524
12.049505,0.887683
13.625909,0.000735
11.074100,0.002139
11.464304,0.062034
11.363223,0.029302
13.484655,0.003242
13.613901,0.000839
12.976495,0.169946
13.906408,0.000023
11.989230,0.770464
12.723245,0.545326
13.286680,0.019606
13.017175,0.134041
13.791594,0.000104
11.376603,0.032520
10.839215,0.000152
13.144515,0.058303
10.797776,0.000091
11.543444,0.105129
